sku,units_available,warehouse_code,observed_at
HS-CAB-12-BLK,18,SYD-01,2026-09-12T01:00:00+00:00
HS-COM-08-BLK,12,SYD-01,2026-09-12T01:00:00+00:00
HS-FLD-09-WHT,7,SYD-01,2026-09-12T01:00:00+00:00
HS-LIT-04-BLK,40,MEL-01,2026-09-12T01:00:00+00:00
HS-SPT-06-NVY,15,SYD-01,2026-09-12T01:00:00+00:00
HS-STD-20-BLK,6,MEL-01,2026-09-12T01:00:00+00:00
HS-STD-20-WHT,4,MEL-01,2026-09-12T01:00:00+00:00
HS-ULT-15-SLV,4,SYD-01,2026-09-12T01:00:00+00:00
HS-MIN-03-BLK,22,SYD-01,2026-09-12T01:00:00+00:00
HS-SFT-11-GPH,9,SYD-01,2026-09-12T01:00:00+00:00
HS-REF-18-BLK,5,MEL-01,2026-09-12T01:00:00+00:00
HS-RUN-07-WHT,16,SYD-01,2026-09-12T01:00:00+00:00
HS-PUL-10-BLK,11,SYD-01,2026-09-12T01:00:00+00:00
HS-NGT-14-BLK,8,SYD-01,2026-09-12T01:00:00+00:00
HS-DCK-05-SLV,0,MEL-01,2026-09-12T01:00:00+00:00
