sku,code,available
HS-CAB-12-BLK,STANDARD,true
HS-CAB-12-BLK,EXPRESS,true
HS-CAB-12-BLK,SAME_DAY,true
HS-COM-08-BLK,STANDARD,true
HS-COM-08-BLK,SAME_DAY,true
HS-FLD-09-WHT,STANDARD,true
HS-FLD-09-WHT,SAME_DAY,true
HS-LIT-04-BLK,STANDARD,true
HS-SPT-06-NVY,STANDARD,true
HS-STD-20-BLK,STANDARD,true
HS-STD-20-WHT,STANDARD,true
HS-ULT-15-SLV,STANDARD,true
HS-ULT-15-SLV,SAME_DAY,true
HS-MIN-03-BLK,STANDARD,true
HS-SFT-11-GPH,STANDARD,true
HS-SFT-11-GPH,SAME_DAY,true
HS-REF-18-BLK,STANDARD,true
HS-RUN-07-WHT,STANDARD,true
HS-PUL-10-BLK,STANDARD,true
HS-PUL-10-BLK,SAME_DAY,true
HS-NGT-14-BLK,STANDARD,true
HS-NGT-14-BLK,SAME_DAY,true
HS-DCK-05-SLV,STANDARD,true
