sku,code,available
HS-CAB-12-BLK,STANDARD_12,true
HS-CAB-12-BLK,EXTENDED_24,true
HS-COM-08-BLK,STANDARD_12,true
HS-FLD-09-WHT,STANDARD_12,true
HS-LIT-04-BLK,STANDARD_12,true
HS-SPT-06-NVY,STANDARD_12,true
HS-STD-20-BLK,STANDARD_12,true
HS-STD-20-WHT,STANDARD_12,true
HS-ULT-15-SLV,STANDARD_12,true
HS-ULT-15-SLV,EXTENDED_24,true
HS-MIN-03-BLK,STANDARD_12,true
HS-SFT-11-GPH,STANDARD_12,true
HS-REF-18-BLK,STANDARD_12,true
HS-RUN-07-WHT,STANDARD_12,true
HS-PUL-10-BLK,STANDARD_12,true
HS-NGT-14-BLK,STANDARD_12,true
HS-NGT-14-BLK,EXTENDED_24,true
HS-DCK-05-SLV,STANDARD_12,true
